content,polarity
Increíble:  Rajoy dice que no nombró vicepresidente primero porque quería dar la cara sobre la crisis.  Cuándo y dónde ?,2
Tenemos que combinar reflexión con ACCION . Tenemos que hacerlo con un proyecto que tiene que ser nuevo,5
"El déficit del 8% es la muestra de la austeridad hipócrita del PP, pero sobre todo del fracaso del ajuste que provoca recesión, paro y deuda",1
@mgilguerrero sorprende que preocupe más un posible relevo en Tráfico que el terrorismo. Alucinante con las preguntas. ¿El nuevo periodismo?,1
"Esta noche al Hormiguero!Me apetece un poquillo de ""cachondeo""#palabrasarcaicas",5
"Las cifras de Rajoy: 15.000 millones autonómicos + 3.000 del Gobierno + 1.500 municipales + 5.000 de la SS. Suman 24.500 millones, no 20.000",1
Este es el especial en el que puedes seguir en EL PAÍS las elecciones de EEUU y ahora mismo las primarias republicanas http://t.co/Lroa6mkk,5
"La semana siguiente  lo mismo en las asambleas comarcales.  Después el congreso federal. Y así, con los cambios lógicos, desde hace 132 AÑOS",3
ERC&PP no han apoyado ese pleno monográfico sobre impulso d l economia y efectos d ls recortes que registramos mañana.El govern no lo quería,1
"Mañana en @elconfidencial mi #dos palabras ""Cuando la corrupción se convierte en nuestro peor enemigo"".",1
Como s genera nuestro déficit:15.000 millones las com autónomas.5000 mill seg social.3000 mill Estado.1500 mill ayuntam http://t.co/wIw3IXeC,1
"Ayuda RT @NKIESE: Ayuda porfa!! Necesitamos donadores de sangre O- y B- en Medica Sur para Regina Howard, es una amiga. RT pls!",2
Mañana hay pleno en el Congreso de Diputados para convalidar el decreto de recortes del Gobierno. Nos dan 10 minutos para fijar posición.,1
Recortan 200 millones de euros a la rtve. Mal camino después que el anterior gobierno les suprimiera 500 millones de publicidad.,2
Noooooooooooooooooooooooooooo,1
Qué recuerdos!: Nepal. Españoles en el mundo @tve_tve,4
"Un fuerte abrazo a @conchagcampoy, que va a disputar la batalla más importante de su vida. Mucho animo :-)",5
Entrevista completa al presidente @MarianoRajoy http://t.co/ObMm5Vk7 #interesante,5
"“@Anoukira: Así es, @Costa_Ant acabo de salir de la peli y @JoseMotatv hace un papelón! Buenísima!! Gracias por el  gracias a tí!!!!",5
“@Davirra: Con el culpable!! Gracias por esta gran noche y por esta gran película. #9enfilmaffinity :D http://t.co/LKWldYZj” gracias a ti.,5
"http://t.co/bJH4vI8Yaqui tenéis las fotos del primer concierto de Córdoba, muchas gracias @lya_cordoba por tanto arte.",5
Que viene insomnio? No!!!! Mañana a las 7!!!! #ohagoyogaoyanosequé,2
"Buenos días a todos, que tengáis un estupendo miércoles :-)",5
Me quedé corto: recorte d déficit no será d 30.000m sino mucho más. Pues sigue sin salirme el cómo lo harán con lo q falta q es muuucho.,1
"Al menos 1muerto y 2heridos x la explosión d una bomba adosada a un coche en una plaza del norte de Teherán,cerca d la Universidad (PressTv)",1
Me he dado cuenta de que cuesta mas levantarse de la cama cuanto mas frío hace fuera...#perogrullo,1
"#ChacónenLaSER: ""No hacerle daño a mi partido es lo que me ha llevado a Reaccionar""",5
"#ChacónenLaSER : ""Me siento con capacidad y con equipo, no hay superman ni superwoman"".",5
Cuando la corrupción se convierte en nuestro peor enemigo - Dos Palabras http://t.co/mw8jkzmG vía @elconfidencial,1
"Sí!!“@ester_font: @Buenafuente Espero que el día se porte bien contigo, que mañana voy a veros y tienes que estar fresco como una rosa!”",5
El ministro del Interior confirma su extraña cita con Zapatero. Todo muy normal,3
un buen trabajo...“@LaVanguardia: La NASA busca astronautas para ir a un asteroide http://t.co/o6kjfQLj”,5
"No habrá comisión de ciencia e investigación, ni comisión de igualdad, ni tampoco comisión de medioambiente.",2
"""@frec_digital: #Tusiquevales se dispara al 22% en el late y dobla a 'Viaje al Toledo...' de Antena 3 http://t.co/UsTY1A1f"" Ouyeah.",5
"Uuuuuuuys! Montoro pide a la Cámara que ""dejemos de lado la ideología"" ante la crisis... Danger",1
El PSOE pide q se haga lo que el no hizo en dos legislaturas..Y da lecciones de gobierno en las CCAA mientras la Cámara le espeta:Andalucía!,1
"Damasiado frío Alonso (PSOE) en sus críticas al #rajoynazo1 Parece un técnico, no un político.",2
"Empieza la degradación del debate, con la herencia recibida y el ' y tu más'. Montoro dice que el PSOE conocía el déficit.",1
"Lo que no explica Montoro, y es lo fundamental, es qué autonomías han incumplido y por cuánto. Y quién las gobierna.",2
"Montoro dice que pide ""un esfuerzo pequeño de muchos"" con la subida de impuestos. Y defiende los impuestos ""a la propiedad"". Ver para creer",1
Montoro clama ahora x una política de luces largas...y sigue con el rafa rafa de la pinderacion,1
"Montoro ""la situación está para que la política ponga las luces largas para salir de la crísis"" #Congreso",3
"Montoro, hace dos meses: ""Si subiéramos el IRPF tendríamos menos crecimiento y más paro, con eso se lo digo todo"" http://t.co/Zjk7ofA8",1
El Gobierno no ampliará el plazo para que sindicatos y empresarios lleguen a un acuerdo,2
Cuando Montoro decía estas cosas ya sabía que el déficit era del 8%. Él mismo lo iba contando. http://t.co/Zjk7ofA8,1
"Denuncia a la banca, la iglesia, la ley sinde, el escaso compromiso con el fraude, congelación del salario mínimo y funcionarios, rtve.",2
Hoy no le tiembla la mano. Ayer cueste lo que cueste. Y durante toda la crisis la austeridad hipócrita como ley del embudo y el rigor mortis,2
Esta es la mejor noticia q he leído hoy en la prensa.... http://t.co/g5O1a2Or,5
El debate sobre déficit publico es el viejo debate sobre cañones o mantequilla.,1
Qué interés hay en enfrentar el gasto de las distintas Administraciones? No hablar de Estado y autonomías sino del Estado de las autonomías,2
Viendo otra movida:-),3
"El Congreso convalida, con los votos del PP, CiU y UPN, el primer ajuste de Rajoy - ABC.es http://t.co/6pmNfPK8 via @abc_es",4
En el AVE con @JoseMotatv para ir a Barna. #palizon #señorasmayoresdegira #abuelas #desmadreenelgeriatrico,1
Se han ampliado 100.000 millones para avales a la banca. La banca siempre gana y altos directivos más.,1
"La producción industrial subió en noviembre un 15,8% respecto al mismo mes del año anterior...La + alta de toda España...",5
La Junta de Andalucía sigue echando mano de la chequera para amigos. Se lo contamos en nuestro top secret. @TelediarioInter 20:30,1
Alonso dice que en Andalucía no hay corrupción. Risas en el hemiciclo. @TelediarioInter 20:30,1
He publicado una foto nueva en Facebook http://t.co/YAFWtbVW,5
En @TDtarde @13television todos hemos estado de acuerdo en que los cargos públicos no estén mas de 8 años en el poder #acabarconlacorrupcion,4
RT @GeekIndignado: Los fotógrafos desafían a la censura en el Congreso con unas polémicas imágenes de Mariano Rajoy http://t.co/MsLKQvNe,2
"""QUIEN NO HA AFRONTADO LA ADVERSIDAD NO CONOCE SU PROPIA FUERZA""         http://t.co/Zo7IT1Y2",2
RT @anapastor_tve: RT @unicef_es: Queremos acabar con la #desnutrición infantil. ¿Nos ayudas? Envía DIA al 28028. Te necesitamos. #donaundia,4
que clamores? De Obama? “@EFEnoticias: EEUU recuerda diez años de Guantánamo entre clamores para su cierre inmediato #Guantánamo #EEUU”,1
Telmo Martín da el perfil para ministro de Vivienda (o de burbuja inmobilaria). http://t.co/M2IeN3jN,2
"España líder mundial de donantes, y el Hospital la Fe de Valencia, líder en trasplantes de hígado y corazón.... http://t.co/gEzBf4DR",5
"La constructora del diputado millonario, Telmo Martín, vendió viviendas VPO con sobreprecio y fue sancionada http://t.co/x4qqiRuS",2
"Los abogados repudian los #CIE para extranjeros, el sí de CiU a Rajoy y el desafío de Chacón a Rubalcaba.http://t.co/kAzDRh8y#portadaEPC",1
.@Leche_Lacturale El secreto del éxito es la constancia en el propósito. Disraeli,4
BUENAS NOCHES:-),4
"Rajoy&Duran apoyan subida d impuestos a todos ls españoles,justo lo contrario d lo que dijeron hace 2 meses antes dl #20N. #pepevergencia",1
http://t.co/yVq45LM7aquí podéis encontrar las fotos de mi segundo concierto en el gran teatro de Córdoba. @lya_cordoba y #Queco.,5
"Vaya público guapo el de Córdoba señores, gracias.  Y mañana tocamos en Cádiz, cantaré por primera ver en el gran teatro Falla, otro sueño",5
"Si quieres estar informado con criterio, y eres progre, no te puedes perder el @TelediarioInter a las 3. Prueba una dosis liberal! Oeoeoe",4
"Contra el descriterio : @TelediarioInter a las 3. Para saber lo q pasa y Xq. Para entender mejor la realidad, con argumentos valientes.",5
"@PalomaCervilla @@merceperello @@PalomaCervilla por supuesto, pero no creo que negarse a malgastar dinero sea equivocarse",3
"Banesto muestra el camino: menos beneficios, más provisiones.http://mun.do/wDrm8q",5
La adicción a Internet se caracteriza por una integración anormal de la materia blanca http://t.co/F6CN8vim,1
"RTVE.es mas de 14000000 usuarios en diciembre http://t.co/8yAHpegh ¡gracias en general y en especial,por vuestros comentarios en la Lotería!",5
"La solidaridad no es entre los asalariados, es d los que más tienen hacia el resto de la sociedad. La del Rajuste deja fuera a los más ricos",2
Vamos a por @HerreraenlaOnda !!!;),5
Elegir presidente de RTVE requiere 2/3 del Congreso. Conclusión: hasta q el PSOE no resuelva sus líos internos no habrá fumata blanca,2
Decir que un debate divide es como decir que la democracia divide.,2
Felicitaciones @delcastillogaby @ezeaguero !! Bienvenido Bauti a a la familia!!!,5
Q gustazo hablar con Ga Pelayo en @OndaCero_es !!;) en 3 minutos seguimos!!!,5
La semana q viene mas @OndaCero_es  @HerreraenlaOnda !! Q bien nos lo pasamos!! VIVA LA RADIO!!;),5
Me da penita quitarlo http://t.co/F2DKW50n,2
"La colocación de 10.000 millones de deuda a menor interés demuestra que, al menos para los mercados, la estrategia de Rajoy ha sido acertada",4
"Para mi, escuchar a Ramoneda me sirve de referencia on #bananity http://t.co/q3a0LQvQ",4
"Mas!El ex alcalde de Los Barrios y la delegada de Cultura de la Junta, imputados por delito urbanístico"" http://t.co/ywIPSbAs via @elmundoes",1
"¿Qué tienen en común Angola, Georgia, Montenegro y la Comunidad Valenciana? Su deuda tiene la misma nota para Moody's http://t.co/VKwc6v7K",2
"Oye, me he tomado un vermú y me ha sentado fatal. #perocontento",2
"A las 3 en @A3noticias, según Defensa, piratas somalíes atacan un buque de guerra español.  Un pirata muerto, y varios heridos",1
Y preguntamos en @13tv_AlDia : ¿engañó @marianorajoy a los votantes (impuestos) o engañó el @PSOE a los españoles (déficit)? @DHAM_13tv,1
Me voy a dar un paseito con este solazo y buen día que hace hoy!!estoy feliz!!??,5
Es lo q es: La Mancomunidad de la Axarquía ve una tomadura de pelo el decreto de Vivienda http://t.co/I2QW9mXn via @elmundoes,2
"“La renovación del PSOE es un problema de cambio intelectual, no generacional” | Rubalcaba: http://t.co/BuOgLwc5 via @AddThis",3
.@MarianoRajoy elige para #Malaga su primer gran acto público como presidente . SUR.es http://t.co/scHzF1KV vía @diario_sur,5
"En octubre celebraremos el II Fórum de los Archipiélagos, esperamos esta vez en Baleares a instituciones y empresas de Canarias...",4
Ese destino tendrá que forjarlo libremente cada generación de acuerdo con lo que en cada momento le parezca conveniente hacer,4
"Estupendo, si estoy hablamos “@JoseNicolas13: Notición! Nos avisa nuestro profesor de que ha concertado una visita a EM el 27 de Enero.",5
No basta con encomendarse al santoral o bailar la danza de la lluvia para frenar la #boinaMadrid,2
"#RbcbenValencia: ""El compromiso es lo que me trajo a la política"", y agradece su lucha contra la corrupción a Ángel Luna",4
"#RbcbenValencia ""No preguntaré a nadie donde milita, si es mayor, jóven o si lleva tiempo militando, preguntaré si tiene ideas para mejorar""",4
"Chacón sobre los derechos de la mujer: ""Con Zapatero hemos dado más pasos que nunca en la historia de la Humanidad"".",5
Ana Botella traiciona a los madrileños al abandonar la reivindicación de una mejor financiación municipal. #Madrid http://t.co/Kh12Tcg4,1
@AlexdelaIglesia Parece que tenga un hierro en la cabeza...,2
A puntito de entrar en #TheHole viva @AlexODogherty http://t.co/rAFTqths,4
RT @maycrespo: disculpame @AlejandroSanz ya se que me rt pero se hace fuerza bss AYUDEMOS A HAITI (cont) http://t.co/oHaaHTgI,5
Jajaja. Ya Se nota?. Ojala.. Yo voy a hacerlo con toda la pasion del mundo pero luego vosotr@s (cont) http://t.co/M3fue4nU,5
"Pues para finales de 2012 creo, pero os irE dando pequeños regalillos.. Jejeje. Y ya no puedo (cont) http://t.co/N7IdRDHh",4
RT @UNICEFORG: @AlejandroSanz ayudanos a difundir que un mundo sin psoriasis es posible la cura la (cont) http://t.co/YGEjBJMR,4
Adiós al maestro de humanidad: http://t.co/A37enFkr vía @diariodejerez,1
Ya vereis que si. Eso lo lleva Rocio.. Pero estoy seguro. Un besito RT @AmoresDeSanz: (cont) http://t.co/CVNNQyNg,5
El soldado Bradley Manning se enfrentará al consejo de guerra  http://t.co/Uh2Y5tgv via @el_pais,1
"Toma! compravotos“@AdrianaRey83: Portada mañana @gaceta_es ""Griñán regaló 54 millones a UGT y CCOO el mismo día en q convocó las elecciones""",1
“@TelediarioInter: Top Secret: El #PSOE de Andalucía despilfarra otros 90 millones de euros en subvenciones. http://t.co/aiWHNXRJ”,1
Pues a mi me ha encantado #Sherlock,5
Indigna que Gobiernos UE no exijan cambio estatuto BCE para prestar directamente a Estados. Paro disparado y casino financiero a tope.,1
Que bien me lo he pasado esta noche en el espectáculo/ Que bé m'ho he passat!!!. Gràcies/ Gracias  #terratpack,5
Ojala te guste. Un beso. RT @thesevencluod: Vamos el décimo intento de Ke el Hermoso (cont) http://t.co/Ts7lw8K0,4
RT @Blank_isabel: @paurubio me encanta tu avatar!!! Se ve que es hermoso tu gordo!!! :),5
Creéis que hay o no choque de trenes entre Montoro y de Guindos? sus distintas posiciones sobre control cuentas regionales apuntan a que si,2
. @DiputacionMLG desbloquea obras por valor de 760.000 euros http://t.co/gf6890FZ @eliasbendodo,5
#FF RT @Manuel_Son_Goku: #FF para una chica buena persona muy malagueña del sur y además del @PPopular como es @mariviromero. Kissess!!,5
Rajoy pide ayuda a la UE. ¿Para los españoles? ¿Para evitar los recortes? No. Para la banca http://t.co/7t8oRLse,1
"En pleno de convalidación decreto d recortes, dejamos propuestas: Pleno monográfico sobre empleo, mesa para nuevo modelo productivo...",5
"Montoro, a los consejeros del PP: ""El Gobierno no va a dejar que ninguna comunidad haga default (suspensión de pagos)"". http://t.co/kYdy4O6Y",4
Pero estamos convencidos d q @ToniCanto1 no querrá contribuir a ningún expolio y devolverá 130.000 euros al contribuyente valenciano. Seguro,1
"El martes, 17 de enero, sale a la calle mi primera novela: La trampa. Espero que os guste. Aquí tenéis la portada. http://t.co/WXxdIDaL",5
Facebook nos permitirá escuchar música con nuestros amigos http://t.co/EtVzwBo7,4
“@javiersolana: La transicion avanza!Myanmar frees dozens of political prisoners: http://t.co/69AqWhu1 #FT”,4
RT @FdoFrances: @mariviromero : El CAC Málaga lidera Ranking de Museos con Mayor Influencia en Redes Sociales  http://t.co/i9yHIX0O,5
En Granada #masdigital:igualdad de oportunidades en el acceso a las nuevas tecnologías,5
La sentencia del caso Marta del Castillo es una VERGÜENZA #INDIGNADOSporsenteciaMarta,1
"La parte en la que rechaza condenar por ""daño a la integridad moral"" (callarse dónde está el cadáver) me parece la más endeble.",1
"El Gobierno recuerda a sindicatos y empresarios que ""el lunes acaba el plazo"" para alcanzar un acuerdo en la reforma laboral @servimedia",2
"El Gobierno define el apoyo de CiU a sus recortes como ""el inicio de una deseable colaboración"" durante la legislatura @servimedia",4
Mucho RT @vacp5: #Elcambioandaluz : urgente y muy necesario http://t.co/C0SC1wKT vía @mariviromero,2
He apoyado la petición Pongamos fin al limbo de los Centros de Internamiento de Extranjeros - http://t.co/JmHwe52d,5
"La obra 'Yo, el heredero' inaugura la temporada de teatro del Auditorio de la @DiputacionMLG http://t.co/mekhQ2p1",4
"Arenas: ""Bajo ningún concepto Rajoy está vinculado por el 25M"" http://t.co/Jpg1hDn3",4
Toda mi admiración!!!“@PrimitalBros: @PaulaVazquezTV con un público como Vd. da gusto salir al escenario. Un beso #losmayordomosdeTheHole”,5
"Ya estoy sentada en el vuelo , Holanda me espera!",4
A la cola por las autonómicas RT @pedroj_ramirez Ya era hora. El Gobierno cambiará la ley para facilitar privatización http://t.co/hJJGhf2Z,1
@cesc4official ooooohhhhh moc moc. Ritaaaa ritaaaaaaaaaa...,2
"ja, ja!!! “@arturamonart: @Buenafuente ¡Te ha quedado una auténtica obra de arte!”",5
"Ah, y un #FF para @sgueina que es como la Circe de Homero: ""divina entre las diosas""",5
Los mossos tienen buenos asesores: si quieres conseguir que Mas y Puig no te recorte sueldo y material haz huelga hablando en castellano...,2
"Se llama ""sombra y luz"" me alegra que te guste RT @monsherrygirl: @AlejandroSanz  como se (cont) http://t.co/7H79Q6zw",5
Ahora comienza #elcambioandaluz de los jóvenes #conectaconelcambio ;-)) @nnggandalucia ;-)) http://t.co/C1tJ6B30,5
Jajaja.. Que chalao. RT @PARTISAN0: @AlejandroSanz te gusta el coche último modelo que me acabo de (cont) http://t.co/rYvY5zyO,4
"Los políticos tienen difícil superar al alcalde de Getafe, protagonista de un vídeo de adelgazamiento http://t.co/nJQVSzpC",1
Pedazo de musical#muyrecomendable#inclusoparanosabineros http://t.co/LwVSyTCB,5
“@earcos: @ristomejide tus libros deberían estar para Kindle...” @editorialespasa,4
"Buscamos cobrador del Frac, para que Iker Casillas pague sus deudas a los compañeros. Gracias.",1
Se confirma rebaja de raiting Francia e Italia. A la espera de q España reciba la llamada correspondiente. Solo Alemania tiene AAA,2
Malas noticias para zona Euro,2
Me parece muy injusto la sentencia del juicio de marta del castillo,1
"“@Ghostface1993: La chispa de la vida es una cinta emocionante, seria y espectacular, todo el mundo debería verla por que es ÚNICA. gracias!",5
"Amigos, gracias por la increíble acogida. Da gusto hablar directamente con vosotros. #twitteradicto",5
Mucho RT @jcebreros20: @mariviromero urge #cambioandaluz ya esta bien,2
"Toda mi solidaridad con la familia d Marta del Castillo.Hoy ha sido un día duro para la mayoría de ciudadanos,impotentes ante la sentencia",2
RT por una buena causa: #campañaparaquealmudenasigaentwitter @Almudenafc @Noelia_posse @Adrian_Grande :))),5
"Noche del viernes, casita,familia y película que mas se puede pedir...un abrazo a todos!!!:-)",5
Indignante la sentencia y todos los acontecimientos en torno al caso #MartadelCastillo La justicia NO ES IGUAL para todos.#cadenaperpetuaYA,1
"Si, era Audrey.Me encanta... http://t.co/77jb1vUb",5
Bdías. Estoy en Paris. La pérdida de la AAA de S&P cayó anoche como un jarro de agua fría sobre Francia. Sarko lo tiene mal en abril.,1
"""No son maneras"", post sobre cómo se está comportando cara al público el Gobierno Rajoy, Soraya y los demás ministros. ...",1
La buena noticia del día: se acaba d firmar el mayor contrato de España en el exterior: la construcción del AVE a La Meca (6.700 mill.euros),5
"Rajoy viaja en AVE para dar su primer discurso publico, en un mitin en Málaga. Un gesto: no va en el avión de presidente, sino en tren.",4
Con mi amigo @kataly91 direccion lanzarote!!!!! http://t.co/GyTGk6zB,4
"Recomiendo la copia digital, excelente proyección del Capitol.",5
S&P considera q el mero ejercicio de austeridad puede dificultar el crecimiento. Presiones para alargar plazos?,2
¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa ? Historias del día por @natamateo,4
"#RbcbenAlmería ""l@s socialistas españoles debemos mucho a l@s socialistas andaluces, claves en la construcción del @PSOE moderno""",5
Hecho! @rafaminer,4
Está claro que con Marta del Castillo no se ha hecho justicia. Ni se ha condenado a los culpables ni se ha dado... http://t.co/kWAkcOr2,1
"Uyyyy que ganas tenía se oír esto "" bienvenido @marianorajoy , Presidente del Gobierno de España"" ;-))))))  http://t.co/14XstMMv",5
""" la formación será derecho individual de cada trabajador y vamos a mejorar la empleabilidad"" @fatimabanez #elcambioandaluz",5
"Por favor, controlemos un poco las RTonterias... Gracias ;)",3
Me encanta esta foto ;-))))) #elcambioandaluz @marianorajoy @javierarenas_pp @eliasbendodo #elcambioandaluz  http://t.co/StCQWVz1,5
El mio tambien. ;) RT @AmoresDeSanz: @AlejandroSanz  es increible porque cada vez que hablas de (cont) http://t.co/lBMcvg2J,5
IGual para ti gUapa. RT @sanzlokeras: @AlejandroSanz yo no te pido ña!solo desearte un feliz sábado! Bss rosana,4
Ya estamos en el encuentro sobre accion política en redes sociales #elcambioandaluz . Gracias a todos por estar aquí  http://t.co/Hka5SKdn,5
Redistribuir la realidad. Al menos con la paradoja del futuro entrevisto. Ensayos de William Gibson http://t.co/lZ26X5e2,4
"Quiero ser Secretario General porque puedo ser útil para mi partido. Tengo experiencia, tengo ganas e ideas.  #rbcbenmalaga #rubalcaba38",4
"Tenemos que hacer una buena oposición, útil, si no estamos ahí el partido corre un riesgo. #rbcbenmalaga #rubalcaba38",5
“@maria_urraco: @Edurnity Edurne!!! Ya tengo mi entrada para LA ÚLTIMA funcion de Grease!!! http://t.co/AGVzNq4v”,4
"Denle RT por favor, si alguien puede ayudar. RT @CarolinaDiago: @AlejandroSanz Pls help me help 2 (cont) http://t.co/TyIoGnol",4
Denuncia la impunidad absoluta del pasado totalitario de España.,1
Denuncia la vulneración de la legalidad internacional sobre persecución del genocidio por el TSupremo.,3
""" vamos un plan integral de conciliación para lograr la corresponsabilidad en el ámbito familiar"" @JuanMa_Moreno  http://t.co/spAzMgsz",4
En el Foro interviene Teresa Jiménez Becerril que alza la voz por la igualdad en el Parlamento Europeo #elcambioandaluz http://t.co/BrPNSIH3,5
"No entiendo a quien que se dedica a destruir BLOGs como el mío http://t.co/Ey6CxPZ0,  u otros. ¿Por qué les molesta ? ¿Qué? Y ¿a quién?",2
;-)) RT @Mmercedesmartin: @mariviromero a ti por resolvernos todas nuestras dudas sobre el mundo de las RRSS,5
"La agrupación mas grande de Madrid,al completo con RbCb.Los 28 delegados de la agrupación de Latina elegidos en una lista única proRubalcaba",5
Dos científicos de gran valor Elías Campo y Carlos López Otín premiados en #altoaragoneses 2011,5
Cenando con mi gran amigo @Kataly91,5
"""@pmonserrat: que han hecho? El enlace no me funciona"" Demostrar su fiabilidad robando mi imagen sin permiso:  http://t.co/vU8pcDQs",2
"Viendo El Gran Debate en Tele5. Geniales Iranzo, Carmen Tomás y @AntonioMiguelC . Buena apuesta de la cadena.",5
"“@Yaye_: #lachispadelavida da gusto ver cine español y que la sala esté llena.Enhorabuena por la película. me ha encantado,sin más” gracias!",5
“@Agua919:  Cómo describir #lachispadelavida : Parodia del grotesco morbo humano. Brillante idea. Así da gusto ir al cine” gracias amigo,5
Curiosidad del insomne: ¿Por qué iba a ceder la CEOE ante sindicatos si sabe que el Gobierno hará por decreto lo que la patronal quiere?,2
Putos amos! http://t.co/BmDtXftM,5
Muy buenas noches followercetes! http://t.co/wZdohAFs,4
Hasta mañana. Ya va siendo hora...!!!! Qué buen sabor de boca Mizayaki.,5
"El aeropuerto de Castellón, q costó 150 mill, ""tapaba"" una recalificación para 40.000 viviendas http://t.co/SLJNLV35",2
Mucho animo! Vamos muy muy bien!!! RT @MariajePR: Buenas ya muy cerca de Bilbo! @ElenaValenciano @_Rubalcaba_ @AAlvarezAlvarez @patxilopez,5
abcdesevilla.es: La protesta contra el enchufismo llegará al Congreso del PSOE http://t.co/yvkRxhtg,4
En recuerdo a Manuel Broseta... RT @Rubindecendoya El Rincón de Rubín: VIDAS ROTAS EL 15 DE ENERO http://t.co/2NfeNics,4
La cuesta de enero es la Crisis Deluxe.,2
¡Noticias descombacantes! está disponible! http://t.co/pdWFYyRa ? Historias del día por @belategui @vertele,4
Esto opina el partido? “@PSOE: Con una candidata podemos ir a peor. Y con el otro no vamos a ninguna parte. ¿Qué ha pasado con la cantera?”,2
""" el 25 de Marzo no nos jugamos mucho, nos lo jugamos todo"" @eliasbendodo #elcambioandaluz",3
"Precisamente porque creo en la separación de poderes, me repugna el proceso inquisitorial al juez Garzón con inhabilitación preventiva.",1
""" el cambio que proponemos es el cambio tranquilo que tenemos que hacer entre todos "" @javierarenas_pp #elcambioandaluz",5
"Hay que anotar este nombre: Francesco Schettino, capitán del crucero hundido. Huyó el primero. (Por si se lo encuentran en otro barco).",2
""" los socialistas han multiplicado por 5 la deuda publica en #Andalucia "" @javierarenas_pp #elcambioandaluz",1
"""Veo 1 partido de mayorías: no podemos olvidarnos de los más desfavorecidos, por ellos nacimos. Nos tenemos que dirigir a las clases medias""",5
"""Debemos tener la capacidad de vertebrar la sociedad española. Tenemos que ser coherentes en toda España.""",5
"""Tengo esperanza basada en los principios de la igualdad, la solidaridad y la justicia social, compartidos por una amplia base social""",4
Hay formas de ajustar incluso 40.000 millones sin desmantelar el Estado del bienestar: http://t.co/Jw8fnJ7P#porquePúblicohacefalta,3
"“@sonrisadekiwi: Ayer vi La chispa de la vida... En tensión hasta el último segundo, me gustó mucho!  Enhorabuena!!! Gracias!!!!!!!",5
Gracias a TODOS.,5
Los turistas españoles del naufragio. El mal tiempo q llega. ¿Pq los casos d sarampión se han multiplicado x 10? Os lo contamos a las 3.,1
"Anoche jugando hasta las tantas a ""atrapa un millon"" con @_Aliflor_  y @Wallchairfloor Me encanta!!!! http://t.co/x0vPFfcz",5
"Feliz domingo a tod@s, hoy hasta Dios descansa. Trataré de no entrar al estudio y no escuchar nada de lo hecho estos dias. #NoSeSiPodré.",4
"Gracias a tod@s los participantes de la Convención, vosotros sois los protagonistas. Junt@s y con humildad haremos #elcambioandaluz",5
"Merkel persiste en el error. Lo explica @josecdiez en su análisis ""El euro en la encrucijada"". http://t.co/1E8clG0o",2
Dos figuras ahora en cartel!#lachispadelavida http://t.co/2qRxfc8D,4
"Cuando no se trata de un juicio sino de un linchamiento, la sentencia está fijada de antemano. No hay garantías de juicio justo.",2
Los de color Twitter “@La_Coronel: @pedroj_ramirez De esos 60-70 seguro que hay unos favoritos.”,5
"@sanchez_sonia @Aguaazulverde @AntonioRNaranjo @MartaRiveraCruz @sgueina @raquelmartos Mira que lo he pensado, pero estoy muy poco despierta",2
Vamos a cenar... Un BESAZO enorme !!!,4
"Cuanto daño ha hecho el todo gratis d ZP. Pretenden metro gratis, luz gratis, casas gratis.Los países se suicidan, solo hay q mirar a Grecia",1
Por hoy twitter off. Que mañana sea un buen día.,4
"Viajé con él en helicóptero en la campaña del 77. Lo recuerdo gritando más que los motores y señalando al suelo: ""Ese parador lo hice yo"".",3
"Asi es . Que descanse en paz RT @absioke: @mariviromero al menos ha podido ver como @marianorajoy es presidente, descanse en Paz",4
A  Don Manuel Fraga Iribarne : gracias eternas http://t.co/O75E8B6v,5
"Mis #trolldeldía de hoy (competición muy reñida). En el número uno, el resistente a la dictadura de ZP http://t.co/wUZTddEZ",1
La hija de Fraga en ABC: &quot;Ha muerto tranquilo&quot;,3
"La mejor parte es cuando Rajoy presenta a Fraga como un ministro de Información que se la jugó en el franquismo por ""reformista"".",2
Fraga acabó siendo más moderado que muchos otros en el PP. Un artículo que escribí sobre el tema en el verano de 2010 http://t.co/fuLAy89y,4
"Recuperado otro cadáver en el Concordia,segun agencia Ansa.Ya son 6 muertos,entre ellos un español.Empresa armadora habla d error dl capitán",1
A ver si os gusta! b Dias! El cartero llama dos veces | Intereconomía | 689632 http://t.co/JL9RVpkn via @intereconomia,4
Padre constituyente hizo un gran esfuerzo por modernizar y moderar la sociedad española desde su posición liberal conservadora #graciasFraga,5
Adoro a Sofía Vergara......,5
Ya está aqui Bern Shcuster!!!;)) http://t.co/5PN9EpX5,4
"“@JotDownSpain: Pedro J. Ramírez: ""Tengo la inmensa suerte de dedicarme a lo único para lo que sirvo"" http://t.co/xZce0OP2”",5
Todos recuerdan a #Fraga como hombre de estado que lo fue todo en la política española de los últimos 60 años,4
Ya ya ...RT @UnaMujerDe40: No debería llamarte la atención @mariviromero. La hipocresía existe...,1
"Hoy dedicamos a @EduMadina la versión de Gwen Stefani del mítico ochentero ""It's my life"" de los Talk Talk http://t.co/60skzOIH",4
"Vuelve Pons! Después de casi un mes desaparecido, @gonzalezpons estará esta noche en @linternacope",4
"Sobre el libro de Camps: “La historia de Job que, tras perderlo todo, es repudiado por familiares y conciudadanos"" http://t.co/mGoDvedm",2
